scientificName;genus;countryID;locality;ddlat;ddlong;recordedBy;colNum_full;colDay;colMonth;colYear;detBy;detDate;institute;herbarium_code;orig_BC;specificEpithet;speciesAuthor;collectorID;prefix;sufix;colDate;detDay;detMonth;detYear;country;continent;coordinateID;barcode;colNum;ORIG_recBy;coll_surname
Annona reticulata L.;Annona;ID;Weltevreden (culta). [=cultivated Gambir, Jakarta].;-6.183333;106.816667;Backer, CA;;;11;1903;Backer, C.A.;nan;MEL;MEL;MEL 2121537A;reticulata;0;0;;;0;0;0;0;0;0;0;MEL2121537;nan;Backer, C.A.;Backer
Mitrephora obtusa (Blume) Hook.f. & Thomson;Mitrephora;ID;nan;-7.669794;110.5311;Blume, CL von;;;;;nan;nan;NHMUK;BOT;BM000560220;obtusa;0;0;;;0;0;0;0;0;0;0;BM000560220;nan;Carl Ludwig von Blume;Blume
Mitrephora polypyrena (Blume) Miq.;Mitrephora;ID;nan;-7.669794;110.5311;Blume, CL von;;;;;nan;nan;NHMUK;BOT;BM000560232;polypyrena;0;0;;;0;0;0;0;0;0;0;BM000560232;nan;Carl Ludwig von Blume;Blume
Desmos chinensis Lour.;Desmos;ID;nan;-7.669794;110.5311;Horsfield, T;;;;;nan;nan;NHMUK;BOT;BM000632957;chinensis;0;0;;;0;0;0;0;0;0;0;BM000632957;nan;Thomas Horsfield;Horsfield
Pseuduvaria setosa (King) J.Sinclair;Pseuduvaria;ID;nan;-3.45;136.97;Kloss, CB;;;;;nan;nan;NHMUK;BOT;BM000614146;setosa;0;0;;;0;0;0;0;0;0;0;BM000614146;nan;Cecil Boden Kloss;Kloss
Uvaria L.;Uvaria;ID;Borneo. Banjer Marsing [=Banjarmasin].;-3.316667;114.583333;Korthals, PW;;;;;Macheda, D.R.;2014-08-29T00:00:00;MEL;MEL;MEL 2383020A;nan;0;0;;;0;0;0;0;0;0;0;MEL2383020;nan;Korthals, P.W.;Korthals
Mitrella Miq.;Mitrella;ID;Archipel. Ind. Bangka.;-2.266667;106.016667;Teijsmann, JE;;;;;nan;nan;MEL;MEL;MEL 2381892A;nan;0;0;;;0;0;0;0;0;0;0;MEL2381892;nan;Teijsmann, J.E.;Teijsmann
Phaeanthus Hook.f. & Thomson;Phaeanthus;ID;Archipel. Ind. Bangka.;-2.25;106.0;Teijsmann, JE;;;;;nan;nan;MEL;MEL;MEL 2074410A;nan;0;0;;;0;0;0;0;0;0;0;MEL2074410;nan;Teijsmann, J.E.;Teijsmann
Polyalthia Blume;Polyalthia;ID;Archipel. Ind. Ins. L̩par [=Pulau Lepar].;-2.966667;106.816667;Teijsmann, JE;;;;;National Herbarium of Victoria (MEL);2014-08-07T00:00:00;MEL;MEL;MEL 2382260A;nan;0;0;;;0;0;0;0;0;0;0;MEL2382260;nan;Teijsmann, J.E.;Teijsmann
Popowia Endl.;Popowia;ID;Archipel. Ind. Bangka.;-2.25;106.0;Teijsmann, JE;;;;;nan;nan;MEL;MEL;MEL 2382323A;nan;0;0;;;0;0;0;0;0;0;0;MEL2382323;nan;Teijsmann, J.E.;Teijsmann
Uvaria L.;Uvaria;ID;Ngawie, Madioen [=Ngawi, Madiun].;-7.633333;111.516667;Teijsmann, JE;;;;;nan;nan;MEL;MEL;MEL 2383080A;nan;0;0;;;0;0;0;0;0;0;0;MEL2383080;nan;Teijsmann, J.E.;Teijsmann
Cananga odorata (Lam.) Hook.f. & Thomson;Cananga;ID;Kananga Inc.;-7.233333;108.666667;Zollinger, H;;;;;Jessup, L.W.;1986-04-10T00:00:00;MEL;MEL;MEL 2121714A;odorata;0;0;;;0;0;0;0;0;0;0;MEL2121714;nan;Zollinger, H.;Zollinger
Uvaria L.;Uvaria;ID;ex HBB [=Horto Bot. Bogor, presumably cultivated Bogor Botanical Gardens].;-6.6;106.783333;Zollinger, H;;;;;Macheda, D.R.;2014-09-03T00:00:00;MEL;MEL;MEL 2383063A;nan;0;0;;;0;0;0;0;0;0;0;MEL2383063;nan;Zollinger, H.;Zollinger
Annonaceae;nan;ID;Javanica. Ex HBB [=Java. Hort. Bot. Bog. (?=Cultivated in Bogor Botanical Gardens)].;-6.6;106.783333;Zollinger, H;;;;;National Herbarium of Victoria (MEL);2014-08-07T00:00:00;MEL;MEL;MEL 2124002A;nan;0;0;;;0;0;0;0;0;0;0;MEL2124002;nan;Zollinger, H.;Zollinger
