;recorded_by;orig_recby;colnum_full;det_by;orig_detby;to_check;to_check_det
8;Calléry;Calléry;;;Meade, C.;Calléry;recby_problem
9;Calléry;Calléry;;;<NA>;Calléry;recby_problem
38;Pételot;Pételot;2006;;Pételot;Pételot;recby_problem
40;Pételot;Pételot;4861;;Weerasooriya, A.D.;Pételot;recby_problem
41;Pételot;Pételot;940;;Pételot;Pételot;recby_problem
43;Bèjeaud;Bèjeaud;530;;Weerasooriya, A.D.;Bèjeaud;recby_problem
44;<NA>;<NA>;;;Weerasooriya, A.D.;<NA>;recby_problem
48;Pételot;Pételot;6356;;Weerasooriya, A.D.;Pételot;recby_problem
75;Calléry;Calléry;;;<NA>;Calléry;recby_problem
76;Calléry;Calléry;47;;<NA>;Calléry;recby_problem
78;Calléry;Calléry;150;;<NA>;Calléry;recby_problem
83;<NA>;<NA>;;;<NA>;<NA>;recby_problem
116;van Beusekom, C.F.;van Beusekom, C.F.;2762;;Su, Y.C.F.;van Beusekom, C.F.;recby_problem
134;van Beusekom, C.F.;van Beusekom, C.F.;541;;Su, Y.C.F.;van Beusekom, C.F.;recby_problem
143;Pételot;Pételot;906;;Nguyen, T.B.;Pételot;recby_problem
146;Pételot;Pételot;6421;;Utteridge, T.M.A.;Pételot;recby_problem
147;Pételot;Pételot;6057;;Utteridge, T.M.A.;Pételot;recby_problem
149;McClure, F.A.;McClure, F.A.;9697;;<NA>;McClure, F.A.;recby_problem
162;<NA>;<NA>;;;<NA>;<NA>;recby_problem
183;<NA>;<NA>;;;<NA>;<NA>;recby_problem
192;<NA>;<NA>;3731;;Theo et Boichard;<NA>;recby_problem
193;<NA>;<NA>;3731;;Theo et Boichard;<NA>;recby_problem
207;Fénix, E.;Fénix, E.;29992;;<NA>;Fénix, E.;recby_problem
228;van Beusekom, C.F.;van Beusekom, C.F.;784;;Kessler, P.;van Beusekom, C.F.;recby_problem
263;<NA>;<NA>;;;<NA>;<NA>;recby_problem
267;Müller;Müller;904;;<NA>;Müller;recby_problem
268;Riedlé;Riedlé;;;<NA>;Riedlé;recby_problem
269;Riedlé;Riedlé;;;<NA>;Riedlé;recby_problem
279;van Beusekom, C.F.;van Beusekom, C.F.;1842;;Meade, C.;van Beusekom, C.F.;recby_problem
280;van Beusekom, C.F.;van Beusekom, C.F.;1887 A;;Meade, C.;van Beusekom, C.F.;recby_problem
281;van Beusekom, C.F.;van Beusekom, C.F.;1887 A;;<NA>;van Beusekom, C.F.;recby_problem
292;Lefèvre, E.;Lefèvre, E.;332;;Meade, C.;Lefèvre, E.;recby_problem
331;Lörzing;Lörzing;5585;;Bakhuizen van den Brink;Lörzing;recby_problem
358;Riedlé;Riedlé;;;<NA>;Riedlé;recby_problem
360;<NA>;<NA>;2735;;<NA>;<NA>;recby_problem
369;Pételot;Pételot;5800;;Meade, C.;Pételot;recby_problem
373;Béjaud;Béjaud;160;;Chaowasku, T.;Béjaud;recby_problem
374;Béjaud;Béjaud;108;;Chaowasku, T.;Béjaud;recby_problem
377;Pételot;Pételot;4859;;Pételot;Pételot;recby_problem
378;Pételot;Pételot;6297;;Brink, E.C. van den;Pételot;recby_problem
409;Alleizette, C. d';Alleizette, C. d';;;Meade, C.;';recby_problem
430;Lörzing;Lörzing;5597;;Deroin, T.;Lörzing;recby_problem
451;Perry, de;Perry, de;2021;;Pierre, L.;Perry, de;recby_problem
467;Pételot, P.A.;Pételot, P.A.;1817;;Brink, E.C. van den;Pételot, P.A.;recby_problem
478;Phạm Hoàng Hộ;Phạm Hoàng Hộ;5302;;Chaowasku, T.;Phạm Hoàng Hộ;recby_problem
489;<NA>;<NA>;;;Chaowasku, T.;<NA>;recby_problem
491;<NA>;<NA>;;;Chaowasku, T.;<NA>;recby_problem
511;<NA>;<NA>;;;<NA>;<NA>;recby_problem
538;<NA>;<NA>;3;;Deroin, T.;<NA>;recby_problem
549;Perry, de;Perry, de;1758;;Saunders, R.M.K.;Perry, de;recby_problem
560;McClure, F.A.;McClure, F.A.;9733;;<NA>;McClure, F.A.;recby_problem
562;<NA>;<NA>;;;<NA>;<NA>;recby_problem
563;Müller;Müller;331;;<NA>;Müller;recby_problem
582;Phạm Hoàng Hộ;Phạm Hoàng Hộ;5288;;Kessler, P.;Phạm Hoàng Hộ;recby_problem
587;Bèjeaud;Bèjeaud;664;;van den Brink, E.C.;Bèjeaud;recby_problem
605;Alleizette, C. d';Alleizette, C. d';;;Meade, C.;';recby_problem
606;Béjaud;Béjaud;48;;<NA>;Béjaud;recby_problem
618;Vigineix-Roche;Vigineix-Roche;2;;<NA>;Vigineix-Roche;recby_problem
619;Vigineix-Roche;Vigineix-Roche;4;;<NA>;Vigineix-Roche;recby_problem
630;Lefèvre, E.;Lefèvre, E.;532;;<NA>;Lefèvre, E.;recby_problem
631;Lefèvre, E.;Lefèvre, E.;118;;Kessler, P.;Lefèvre, E.;recby_problem
632;Lefèvre, E.;Lefèvre, E.;384;;<NA>;Lefèvre, E.;recby_problem
669;Bornmüller, J.;Bornmüller, J.;5152;;Haussknecht, C.;Bornmüller, J.;recby_problem
673;Pételot;Pételot;2006;;Pételot;Pételot;recby_problem
675;van Beusekom, C.F.;van Beusekom, C.F.;1983;;Ng Kwok Wun;van Beusekom, C.F.;recby_problem
676;van Beusekom, C.F.;van Beusekom, C.F.;4209;;Ng Kwok Wun;van Beusekom, C.F.;recby_problem
681;Alleizette, C. d';Alleizette, C. d';;;Kessler, P.;';recby_problem
689;Contest-Lacour;Contest-Lacour;;;Kessler, P.;Contest-Lacour;recby_problem
692;<NA>;<NA>;;;<NA>;<NA>;recby_problem
759;McClure, F.A.;McClure, F.A.;8420;;Merrill, E.D.;McClure, F.A.;recby_problem
788;Pételot;Pételot;1297;;Ng Kwok Wun;Pételot;recby_problem
789;Pételot;Pételot;1442;;Ng Kwok Wun;Pételot;recby_problem
790;Pételot;Pételot;4855;;Ng Kwok Wun;Pételot;recby_problem
791;Pételot;Pételot;4856;;Ng Kwok Wun;Pételot;recby_problem
792;Phung van Diên;Phung van Diên;136;;<NA>;ên;recby_problem
802;<NA>;<NA>;;;<NA>;<NA>;recby_problem
814;<NA>;<NA>;;;<NA>;<NA>;recby_problem
815;Calléry;Calléry;6;;<NA>;Calléry;recby_problem
816;Calléry;Calléry;6;;<NA>;Calléry;recby_problem
817;Calléry;Calléry;19;;<NA>;Calléry;recby_problem
818;Calléry;Calléry;29;;<NA>;Calléry;recby_problem
840;Müller;Müller;1940;;Ng Kwok Wun;Müller;recby_problem
841;Müller;Müller;2078;;Ng Kwok Wun;Müller;recby_problem
857;Alleizette, d';Alleizette, d';158;;<NA>;Alleizette, d';recby_problem
896;Müller;Müller;150;;Kessler, P.;Müller;recby_problem
897;Pételot;Pételot;1466;;<NA>;Pételot;recby_problem
898;Pételot;Pételot;7638;;<NA>;Pételot;recby_problem
900;Pételot;Pételot;1780;;<NA>;Pételot;recby_problem
901;Pételot;Pételot;1780;;<NA>;Pételot;recby_problem
902;Pételot;Pételot;3954;;Deroin, T.;Pételot;recby_problem
903;Pételot;Pételot;3954;;Deroin, T.;Pételot;recby_problem
910;Lefèvre, E.;Lefèvre, E.;243;;<NA>;Lefèvre, E.;recby_problem
911;Müller;Müller;618;;Ng Kwok Wun;Müller;recby_problem
912;Müller;Müller;678;;Ng Kwok Wun;Müller;recby_problem
913;Pételot;Pételot;918;;Pételot;Pételot;recby_problem
914;Pételot;Pételot;1273;;<NA>;Pételot;recby_problem
915;Pasquier, du;Pasquier, du;3015;;<NA>;Pasquier, du;recby_problem
917;<NA>;<NA>;;;<NA>;<NA>;recby_problem
937;Pételot;Pételot;6362;;<NA>;Pételot;recby_problem
941;Pételot;Pételot;3964;;<NA>;Pételot;recby_problem
942;Pételot;Pételot;3964;;Johnson;Pételot;recby_problem
955;van Steenis, C.G.G.J.;van Steenis, C.G.G.J.;9843;;van Steenis, C.G.G.J.;van Steenis, C.G.G.J.;recby_problem
956;Müller;Müller;605;;Meade, C.;Müller;recby_problem
957;Müller;Müller;605;;Meade, C.;Müller;recby_problem
959;Müller;Müller;601;;Meade, C.;Müller;recby_problem
991;van Beusekom, C.F.;van Beusekom, C.F.;2548;;van Setten, A.K.;van Beusekom, C.F.;recby_problem
1021;Pételot;Pételot;906;;Pételot;Pételot;recby_problem
1025;<NA>;<NA>;;;<NA>;<NA>;recby_problem
1048;<NA>;<NA>;17786;;<NA>;<NA>;recby_problem
1057;<NA>;<NA>;;;<NA>;<NA>;recby_problem
1086;Béjaud;Béjaud;611;;van Heusden, E.C.H.;Béjaud;recby_problem
1087;Béjaud, M.;Béjaud, M.;611;;<NA>;Béjaud, M.;recby_problem
1088;Alleizette, C. d';Alleizette, C. d';;;Alleizette, C. d';';recby_problem
1093;Hiêp;Hiêp;859;;Deroin, T.;Hiêp;recby_problem
1096;<NA>;<NA>;26;;Deroin, T.;<NA>;recby_problem
1110;<NA>;<NA>;;;<NA>;<NA>;recby_problem
1130;Edaño, G.;Edaño, G.;26907;;<NA>;Edaño, G.;recby_problem
1143;Hiêp;Hiêp;20;;Meade, C.;Hiêp;recby_problem
1148;Pételot;Pételot;5694;;<NA>;Pételot;recby_problem
1149;Pételot;Pételot;5694;;Pételot;Pételot;recby_problem
1191;McGregor, R.C.;McGregor, R.C.;18547;;Kessler, P.;McGregor, R.C.;recby_problem
1197;McGregor, R.C.;McGregor, R.C.;;;van Heusden, E.C.H.;McGregor, R.C.;recby_problem
1204;van Beusekom, C.F.;van Beusekom, C.F.;1032;;van Heusden, E.C.H.;van Beusekom, C.F.;recby_problem
1212;McGregor, R.C.;McGregor, R.C.;26227;;<NA>;McGregor, R.C.;recby_problem
1218;<NA>;<NA>;;;<NA>;<NA>;recby_problem
1222;<NA>;<NA>;;;<NA>;<NA>;recby_problem
1224;Calléry;Calléry;;;Kessler, P.;Calléry;recby_problem
1231;Fénix, E.;Fénix, E.;1284;;<NA>;Fénix, E.;recby_problem
1238;Edaño, G.;Edaño, G.;;;<NA>;Edaño, G.;recby_problem
1248;McClure, F.A.;McClure, F.A.;8922;;<NA>;McClure, F.A.;recby_problem
1259;Fénix, E.;Fénix, E.;;;Kessler, P.;Fénix, E.;recby_problem
1276;van Beusekom, C.F.;van Beusekom, C.F.;193;;van Heusden, E.C.H.;van Beusekom, C.F.;recby_problem
1290;Pételot, A.;Pételot, A.;;;van Setten, A.K.;Pételot, A.;recby_problem
1303;McClure, F.A.;McClure, F.A.;8634;;Merrill, E.D.;McClure, F.A.;recby_problem
1308;<NA>;<NA>;;;<NA>;<NA>;recby_problem
1309;<NA>;<NA>;;;<NA>;<NA>;recby_problem
1333;Müller;Müller;182;;Chaowasku, T.;Müller;recby_problem
1334;Müller;Müller;464;;<NA>;Müller;recby_problem
1362;Pételot;Pételot;4858;;van Heusden, E.C.H.;Pételot;recby_problem
1363;Pételot;Pételot;4858;;Pételot;Pételot;recby_problem
1364;Pételot;Pételot;5955;;Van Heusden, E.C.H.;Pételot;recby_problem
1365;Pételot;Pételot;5964;;Pételot;Pételot;recby_problem
1366;Pételot;Pételot;5964;;<NA>;Pételot;recby_problem
1386;van Beusekom, C.F.;van Beusekom, C.F.;4432;;Meade, C.;van Beusekom, C.F.;recby_problem
1412;<NA>;<NA>;;;<NA>;<NA>;recby_problem
1457;van Beusekom, C.F.;van Beusekom, C.F.;1001;;Kessler, P.;van Beusekom, C.F.;recby_problem
1458;van Beusekom, C.F.;van Beusekom, C.F.;2063;;Kessler, P.;van Beusekom, C.F.;recby_problem
1464;<NA>;<NA>;3713;;Theo et Boichad;<NA>;recby_problem
1465;<NA>;<NA>;3713;;Theo et Boichard;<NA>;recby_problem
1466;<NA>;<NA>;3713;;Theo et Boichard;<NA>;recby_problem
1468;Pételot;Pételot;4698;;<NA>;Pételot;recby_problem
1469;Pételot;Pételot;4698;;<NA>;Pételot;recby_problem
1470;Pételot;Pételot;4698;;<NA>;Pételot;recby_problem
1471;Pételot;Pételot;4698;;Su, Y.C.F.;Pételot;recby_problem
1472;Pételot;Pételot;6377;;Pételot;Pételot;recby_problem
1524;Lemarié;Lemarié;33;;<NA>;Lemarié;recby_problem
1526;Perry, de;Perry, de;178;;<NA>;Perry, de;recby_problem
1527;Pételot;Pételot;189;;<NA>;Pételot;recby_problem
1528;Pételot;Pételot;189;;<NA>;Pételot;recby_problem
1540;<NA>;<NA>;;;<NA>;<NA>;recby_problem
1551;Müller, R.;Müller, R.;1603;;<NA>;Müller, R.;recby_problem
1552;Pételot;Pételot;5269;;Pételot;Pételot;recby_problem
1553;Pételot;Pételot;5269;;<NA>;Pételot;recby_problem
1561;Pételot;Pételot;5269;;Pételot;Pételot;recby_problem
1562;Pételot;Pételot;4853;;Pételot;Pételot;recby_problem
1563;Pételot;Pételot;4853;;Pételot;Pételot;recby_problem
1564;Pételot;Pételot;5514;;Pételot;Pételot;recby_problem
1565;Pételot;Pételot;5514;;Pételot;Pételot;recby_problem
1566;Pételot;Pételot;4852;;Pételot;Pételot;recby_problem
1567;Pételot;Pételot;4852;;Pételot;Pételot;recby_problem
1573;van Beusekom, C.F.;van Beusekom, C.F.;2766;;Kessler, P.;van Beusekom, C.F.;recby_problem
1580;<NA>;<NA>;2134;;<NA>;<NA>;recby_problem
1598;bin Kindungan, A.;bin Kindungan, A.;A 495;;<NA>;bin Kindungan, A.;recby_problem
1613;<NA>;<NA>;;;<NA>;<NA>;recby_problem
1625;Leong-Skornickova, J.;Leong-Skornickova, J.;3015;;<NA>;Leong-Skornickova, J.;recby_problem
1635;<NA>;<NA>;;;<NA>;<NA>;recby_problem
1636;<NA>;<NA>;10;;<NA>;<NA>;recby_problem
1637;<NA>;<NA>;;;<NA>;<NA>;recby_problem
1639;<NA>;<NA>;7323;;<NA>;<NA>;recby_problem
1660;Müller, R.;Müller, R.;1433;;<NA>;Müller, R.;recby_problem
1715;<NA>;<NA>;3712;;Kessler, P.;<NA>;recby_problem
1716;<NA>;<NA>;3712;;Kessler, P.;<NA>;recby_problem
1740;<NA>;<NA>;;;<NA>;<NA>;recby_problem
1756;Ma'roef, A.;Ma'roef, A.;239;;<NA>;Ma'roef, A.;recby_problem
1760;<NA>;<NA>;;;<NA>;<NA>;recby_problem
1771;La Savinierre, E. de;La Savinierre, E. de;1232;;<NA>;, E. de;recby_problem
1774;<NA>;<NA>;486;;<NA>;<NA>;recby_problem
1793;McGregor, R.C.;McGregor, R.C.;18783;;Kessler, P.;McGregor, R.C.;recby_problem
1794;<NA>;<NA>;223;;Kessler, P.;<NA>;recby_problem
1795;<NA>;<NA>;228;;Kessler, P.;<NA>;recby_problem
1797;McGregor, R.C.;McGregor, R.C.;;;Kessler, P.;McGregor, R.C.;recby_problem
1819;van Balgooy;van Balgooy;5895;;<NA>;van Balgooy;recby_problem
1859;Hiêp;Hiêp;13 A;;<NA>;Hiêp;recby_problem
1860;Hiêp;Hiêp;13 A;;<NA>;Hiêp;recby_problem
1861;Hiêp;Hiêp;13;;Kessler, P.;Hiêp;recby_problem
1863;Nguyen Ngoc, J.;Nguyen Ngoc, J.;60;;Tran, H.;, J.;recby_problem
1868;<NA>;<NA>;40;;van Setten, A.K.;<NA>;recby_problem
1871;Châtillon;Châtillon;;;<NA>;Châtillon;recby_problem
1877;van Beusekom, C.F.;van Beusekom, C.F.;522;;<NA>;van Beusekom, C.F.;recby_problem
1898;<NA>;<NA>;;;<NA>;<NA>;recby_problem
1903;<NA>;<NA>;;;Kessler, P.;<NA>;recby_problem
1904;<NA>;<NA>;;;<NA>;<NA>;recby_problem
1905;Macé;Macé;;;<NA>;Macé;recby_problem
1928;Béjaud;Béjaud;141;;<NA>;Béjaud;recby_problem
1946;Bèjeaud;Bèjeaud;147;;<NA>;Bèjeaud;recby_problem
1948;<NA>;<NA>;175;;Deroin, T.;<NA>;recby_problem
1986;<NA>;<NA>;;;Rogstad, S.H.;<NA>;recby_problem
1987;Macé;Macé;;;<NA>;Macé;recby_problem
1988;Macé;Macé;;;<NA>;Macé;recby_problem
2000;<NA>;<NA>;;;<NA>;<NA>;recby_problem
2001;<NA>;<NA>;;;<NA>;<NA>;recby_problem
2006;<NA>;<NA>;;;<NA>;<NA>;recby_problem
2026;<NA>;<NA>;bb 24016;;Kessler, P.;<NA>;recby_problem
2054;Porée-Maspero;Porée-Maspero;;;Kessler, P.;Porée-Maspero;recby_problem
2061;van Beusekom, C.F.;van Beusekom, C.F.;2003;;van Setten, A.K.;van Beusekom, C.F.;recby_problem
2062;van Beusekom, C.F.;van Beusekom, C.F.;1063;;van Setten, A.K.;van Beusekom, C.F.;recby_problem
2063;Labillardière;Labillardière;;;Meade, C.;Labillardière;recby_problem
2064;<NA>;<NA>;;;Meade, C.;<NA>;recby_problem
2079;Alleizette, C. d';Alleizette, C. d';;;Alleizette, C. d';';recby_problem
2085;Rémy, J.;Rémy, J.;;;<NA>;Rémy, J.;recby_problem
2088;<NA>;<NA>;;;<NA>;<NA>;recby_problem
2092;Macé;Macé;;;<NA>;Macé;recby_problem
2093;Macé;Macé;;;<NA>;Macé;recby_problem
2095;Macé;Macé;;;<NA>;Macé;recby_problem
2106;<NA>;<NA>;;;<NA>;<NA>;recby_problem
2107;<NA>;<NA>;;;<NA>;<NA>;recby_problem
2110;<NA>;<NA>;;;<NA>;<NA>;recby_problem
2151;Edaño, G.;Edaño, G.;;;van Setten, A.K.;Edaño, G.;recby_problem
2154;Edaño, G.;Edaño, G.;;;<NA>;Edaño, G.;recby_problem
2172;<NA>;<NA>;3681;;Théo et Boichard;<NA>;recby_problem
2173;<NA>;<NA>;3681;;<NA>;<NA>;recby_problem
2176;van Beusekom, C.F.;van Beusekom, C.F.;749;;Kessler, P.;van Beusekom, C.F.;recby_problem
2194;<NA>;<NA>;;;<NA>;<NA>;recby_problem
2249;Fénix, E.;Fénix, E.;28413;;<NA>;Fénix, E.;recby_problem
2254;<NA>;<NA>;;;<NA>;<NA>;recby_problem
2276;Béjaud, M.;Béjaud, M.;747;;Kessler, P.;Béjaud, M.;recby_problem
2277;Béjaud;Béjaud;;;Kessler, P.;Béjaud;recby_problem
2278;Béjaud, M.;Béjaud, M.;;;<NA>;Béjaud, M.;recby_problem
2292;<NA>;<NA>;4706;;Teo, L.E. & Tetu, J.C.;<NA>;recby_problem
2294;Lépine;Lépine;;;<NA>;Lépine;recby_problem
2295;Bélanger;Bélanger;;;<NA>;Bélanger;recby_problem
2304;Lépine;Lépine;;;<NA>;Lépine;recby_problem
2331;Macé;Macé;;;<NA>;Macé;recby_problem
2332;Hôi;Hôi;367;;<NA>;Hôi;recby_problem
2347;<NA>;<NA>;;;<NA>;<NA>;recby_problem
2349;van Beusekom, C.F.;van Beusekom, C.F.;1860;;Kessler, P.;van Beusekom, C.F.;recby_problem
2353;van Beusekom, C.F.;van Beusekom, C.F.;699;;Kessler, P.;van Beusekom, C.F.;recby_problem
2394;Pételot;Pételot;4854;;Pételot;Pételot;recby_problem
2395;Pételot;Pételot;4854;;Pételot;Pételot;recby_problem
2396;Pételot;Pételot;4854;;<NA>;Pételot;recby_problem
2400;Béjaud, M.;Béjaud, M.;;;<NA>;Béjaud, M.;recby_problem
2401;Béjaud, M.;Béjaud, M.;182;;<NA>;Béjaud, M.;recby_problem
2410;Béjaud;Béjaud;82;;Kessler, P.;Béjaud;recby_problem
2415;Luo-Linbo;Luo-Linbo;447;;Luo Zhong-chun;Luo-Linbo;recby_problem
2423;Djendoel Soejarto, D.;Djendoel Soejarto, D.;14075;;<NA>;, D.;recby_problem
2458;Langlassé, E.;Langlassé, E.;199;;Kessler, P.;Langlassé, E.;recby_problem
2459;Langlassé, E.;Langlassé, E.;199;;Kessler, P.;Langlassé, E.;recby_problem
2462;Langlassé, E.;Langlassé, E.;98;;Kessler, P.;Langlassé, E.;recby_problem
2463;<NA>;<NA>;;;<NA>;<NA>;recby_problem
2465;<NA>;<NA>;bb 30606;;<NA>;<NA>;recby_problem
2467;<NA>;<NA>;bb 28378;;<NA>;<NA>;recby_problem
2468;Neth.Ind.For.Service;Neth.Ind.For.Service;bb 22428;;<NA>;Neth.Ind.For.Service;recby_problem
2474;<NA>;<NA>;1701;;<NA>;<NA>;recby_problem
2478;Langlassé, E.;Langlassé, E.;194;;Kessler, P.;Langlassé, E.;recby_problem
2479;Langlassé, E.;Langlassé, E.;90;;Kessler, P.;Langlassé, E.;recby_problem
2514;<NA>;<NA>;;;<NA>;<NA>;recby_problem
2515;<NA>;<NA>;;;<NA>;<NA>;recby_problem
2550;<NA>;<NA>;bb 32173;;van Steenis;<NA>;recby_problem
2551;<NA>;<NA>;Cel./II 493;;van Steenis;<NA>;recby_problem
2564;<NA>;<NA>;bb 27013;;van Steenis;<NA>;recby_problem
2570;<NA>;<NA>;;;<NA>;<NA>;recby_problem
2579;<NA>;<NA>;bb 29135;;Kessler, P.;<NA>;recby_problem
2591;<NA>;<NA>;;;<NA>;<NA>;recby_problem
2592;<NA>;<NA>;;;<NA>;<NA>;recby_problem
2648;<NA>;<NA>;854;;<NA>;<NA>;recby_problem
2659;de Wilde, W.J.J.O.;de Wilde, W.J.J.O.;18657;;de Wilde, W.J.J.O. et de Wilde-Duyfjes, B.E.E.;de Wilde, W.J.J.O.;recby_problem
2787;Bakhuizen van den Brink;Bakhuizen van den Brink;4671;;Kessler, P.;Bakhuizen van den Brink;recby_problem
2791;Bakhuizen van den Brink;Bakhuizen van den Brink;5918;;Kessler, P.;Bakhuizen van den Brink;recby_problem
2800;<NA>;<NA>;;;Kessler, P.;<NA>;recby_problem
2806;Labillardière;Labillardière;;;Kessler, P.;Labillardière;recby_problem
2850;McGregor, R.C.;McGregor, R.C.;;;<NA>;McGregor, R.C.;recby_problem
2862;van Borssum Waalkes, J.;van Borssum Waalkes, J.;3276;;<NA>;van Borssum Waalkes, J.;recby_problem
2866;<NA>;<NA>;1701;;Kessler;<NA>;recby_problem
2883;<NA>;<NA>;56;;Kessler, P.;<NA>;recby_problem
2898;Béjaud, M.;Béjaud, M.;124;;Kessler, P.;Béjaud, M.;recby_problem
2913;van Beusekom, C.F.;van Beusekom, C.F.;2754;;Kessler, P.;van Beusekom, C.F.;recby_problem
2915;van Beusekom, C.F.;van Beusekom, C.F.;2760;;Kessler, P.;van Beusekom, C.F.;recby_problem
2917;<NA>;<NA>;;;Kessler, P.;<NA>;recby_problem
2957;<NA>;<NA>;;;Kessler, P.;<NA>;recby_problem
3016;van Beusekom, C.F.;van Beusekom, C.F.;1033;;Kessler, P.;van Beusekom, C.F.;recby_problem
3028;Hiêp;Hiêp;488;;<NA>;Hiêp;recby_problem
3030;Hiêp;Hiêp;488;;<NA>;Hiêp;recby_problem
3037;<NA>;<NA>;4757;;Teo, L.E. & Tetu, J.C.;<NA>;recby_problem
3050;<NA>;<NA>;;;<NA>;<NA>;recby_problem
3065;van Balgooy;van Balgooy;5907;;Kessler, P.;van Balgooy;recby_problem
3077;<NA>;<NA>;;;<NA>;<NA>;recby_problem
3086;van Beusekom, C.F.;van Beusekom, C.F.;179;;Kessler, P.;van Beusekom, C.F.;recby_problem
3087;<NA>;<NA>;52;;<NA>;<NA>;recby_problem
3125;Kamphövener;Kamphövener;3124;;EDM;Kamphövener;recby_problem
3142;Alleizette, C. d';Alleizette, C. d';;;Kessler, P.;';recby_problem
3143;Alleizette, C. d';Alleizette, C. d';5;;Kessler, P.;';recby_problem
