scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;expert_det;orig_recby;orig_detby;coll_surname;recby_regex;huh_name;geo_col;wiki_url
Hornschuchia alba (A.St.-Hil.) R.E.Fr.;Hornschuchia;BR;Rancho Dez.;;;Farney, C.;;;6;1997;Farney, C ;2006-05-01T00:00:00;JBRJ;RB;RB00372099;0;0;0;;;0;1;5;2006;0;0;0;RB00372099;nan;alba;expert_det_file;"C. Farney; D.S. Araújo, P.C. Feraz 7 A.Q. Lobão";C. Farney;Farney;Farney, C ;Farney, C.;Brazil;0
Hornschuchia bryotrophe Nees;Hornschuchia;BR;"Árvore de até 3 metros. de altura. mata rala; infl. geralmente deitadas sobre o solo.";;;Khulmann, JG ;;;;;nan;<NA>;JBRJ;RB;RB00042140;0;0;0;;;0;;;;0;0;0;RB00042140;nan;bryotrophe;expert_det_file;J.G. Khulmann;D.M.Johnson (OWU);Khulmann;Khulmann, JG ;Khulmann, JG ;<NA>;<NA>
Hornschuchia bryotrophe Nees;Hornschuchia;BR;Estrada do Tanguá, perto de Rio Bonito. Rio Bonito;;;Kuhlm;;26;2;1951;Jhonson, DM ;<NA>;JBRJ;RB;RB00042134;0;0;0;;;0;;;;0;0;0;RB00042134;nan;bryotrophe;expert_det_file;"Kuhlm. ;  Blacke";D.M. Jhonson;Kuhlm;Kuhlm;Kuhlm;<NA>;<NA>
Hornschuchia bryotrophe Nees;Hornschuchia;BR;Serra do Cipó . Serra do Cipó;;;Kuhlmann, Joao Geraldo;;16;1;1951;nan;<NA>;JBRJ;RB;RB00042164;0;0;0;;;0;;;;0;0;0;RB00042164;nan;bryotrophe;expert_det_file;"J.G Kuhlmann; L.Edmundo";<NA>;Kuhlmann;Kuhlmann, JG;Kuhlmann, Joao Geraldo;Argentina, Bolivia, Brazil, Peru, Uruguay;0
Hornschuchia bryotrophe Nees;Hornschuchia;BR;Estrada do Tanguá, pelo do Rio Bonito;-22.708611;-42.609444;Kuhlmann, Moyses;;26;2;1951;Johnson, DM ;1994-01-01T00:00:00;NY;NY;NY00395784;0;0;0;;;0;1;1;1994;0;0;0;NY00395784;nan;bryotrophe;expert_det_file;M. Kuhlmann;D. M. Johnson;Kuhlmann;Kuhlmann, M ;Kuhlmann, Moyses;Brazil;0
Hornschuchia bryotrophe Nees;Hornschuchia;BR;Estrada do Tanguá, pelo do Rio Bonito;-22.7124572;-42.6095271;Kuhlmann, Moyses;;26;2;1951;Johnson, DM ;1994-01-01T00:00:00;NY;NY;395784;0;0;0;;;0;1;1;1994;0;0;0;NY395784;nan;bryotrophe;expert_det_file;M. Kuhlmann;D. M. Johnson;Kuhlmann;Kuhlmann, M ;Kuhlmann, Moyses;Brazil;0
Hornschuchia myrtillus Nees;Hornschuchia;BR;In sylvis ad fl. Caxoeira prope Ferradas. Provinciae Bah.;;;Martius, Carl (Karl) Friedrich Philipp von;;;;;nan;<NA>;M;BSMvplantscoll;M-0240087 / 729597 / 376426;0;0;0;;;0;;;;0;0;0;M-376426;nan;myrtillus;expert_det_file;Martius, C.F.P. von;<NA>;Martius;Martius, CFP von;Martius, Carl (Karl) Friedrich Philipp von;Belgium, Brazil, Colombia, Germany, Portugal;0
Hornschuchia myrtillus Nees;Hornschuchia;BR;In sylvis. Provinciae Rio d. J.;;;Martius, Carl (Karl) Friedrich Philipp von;;;;;nan;<NA>;M;BSMvplantscoll;M-0240086 / 729596 / 376425;0;0;0;;;0;;;;0;0;0;M-376425;nan;myrtillus;expert_det_file;Martius, C.F.P. von;<NA>;Martius;Martius, CFP von;Martius, Carl (Karl) Friedrich Philipp von;Belgium, Brazil, Colombia, Germany, Portugal;0
Hornschuchia bryotrophe Nees;Hornschuchia;BR;Município de Maraú. ROd. Rod.BR 030, trecho Ubaitaba/Marau, km 15. Vegetação pertubada em Região de Mata Hidrográfica Sul bahiana. Folha SD 24 (14-39c).;;;Mori, Scott Alan;;5;2;1979;nan;<NA>;JBRJ;RB;RB00042161;0;0;0;;;0;;;;0;0;0;RB00042161;nan;bryotrophe;expert_det_file;"S.A.Mori; L.A.Mattos Silva, T.S. dos Santos";J. Kallunki,;Mori;Mori, SA;Mori, Scott Alan;Brazil, United States of America, Venezuela;0
Hornschuchia bryotrophe Nees;Hornschuchia;BR;Município de Ibicaraí. Rodoviaria BR - 415, 40km Oeste de Itabuna. Região de Mata Hidrográfila Sul Baiana.;;;Mori, Scott Alan;;2;3;1978;Kallunki, JA ;<NA>;JBRJ;RB;RB00042146;0;0;0;;;0;;;;0;0;0;RB00042146;nan;bryotrophe;expert_det_file;"S.A. Mori; L.A. Mattos Silva, T. Soares dos Santos, J.A. Kallunki, T.D. Pennington";J.A. Kallunki;Mori;Mori, SA ;Mori, Scott Alan;Brazil, United States of America, Venezuela;0
Hornschuchia bryotrophe Nees;Hornschuchia;BR;Vittoria, Bahia.;;;Sellow, Friedrich;;;;;nan;<NA>;B;B;B 10 0243155;0;0;0;;;0;;;;0;0;0;B0243155;nan;bryotrophe;expert_det_file;F. Sellow;<NA>;Sellow;Sellow, F ;Sellow, Friedrich;Brazil, Germany, Uruguay;0
Hornschuchia citriodora D.M.Johnson;Hornschuchia;BR;Fazenda Serra do Teimoso. Lower forest, northern portion of reserve. Southern Bahian moist forest with elements of semi-deciduos forest.;-15.153333;-39.530556;Thomas, William Wayt;;16;3;2003;nan;2012-06-01T00:00:00;JBRJ;RB;RB00485209;0;0;0;;;0;1;6;2012;0;0;0;RB00485209;nan;citriodora;expert_det_file;"W.W. Thomas; A.M. Amorim, S. Sant´Ana, J.L. Paixão & R.N. Querino";A.Lobão;Thomas;Thomas, WW ;Thomas, William Wayt;Brazil, United States of America, Venezuela;0
Hornschuchia citriodora D.M.Johnson;Hornschuchia;BR;"Ca. 2,5 Km N of Palmira on road connecting palmira to the Itaju do Colônia-Itapé Road, fazenda São Roque (owner Luis Fernando Verde); mountain with transitional subdeciduous forest, some of it disturbed. Southern Bahian Mesophyllous forest.";-15.265555;-39.774722;Thomas, William Wayt;;14;3;2001;Lopes, JC ;<NA>;JBRJ;RB;RB00484198;0;0;0;;;0;;;;0;0;0;RB00484198;nan;citriodora;expert_det_file;"W.W. Thomas; M. Longhi Wagner & Sant´Ana";J.C. Lopes;Thomas;Thomas, WW ;Thomas, William Wayt;Brazil, United States of America, Venezuela;0
