scientificName;genus;species-tobesplit;countryID;locality;ddlat;ddlong;recordedBy;colNum;colDay;colMonth;colYear;detBy;detByDate;institute;herbarium_code;barcode;specificEpithet;speciesAuthor;collectorID;prefix;sufix;colDate;detDay;detMonth;detYear;country;continent;coordinateID;prel_BC;prel_BC2;prel_herbCode;prel_code;prel_code_X;tmp_hc;st_barcode
Annona rufa C.Presl;Fissistigma;Fissistigma latifolium;PH;Luzon - Apnit.;;;Haenke,T.P.X.;nan;;;;C. Presl;nan;PRC;Herbarium PRC;451472;0;0;0;0;0;0;0;0;0;0;0;0;451472;451472;;;;;
Polyalthia suberosa (Roxb.) Thwaites;Polyalthia;Polyalthia suberosa;PH;Accession status: Current/Living. Acession No.: 721283. Distribution: India and Ceylon to Malay Penn. Economic Notes: Filipinos use decoction of root as abortifacient. Voucher: D. Lorence 5829 (PTBG).;;;Ron Huroy;s.n.;25;10;1972;nan;nan;DAV;Herbarium;nan;0;0;0;0;0;0;0;0;0;0;0;0;;;;nan;;;
Cananga odorata (Lam.) Hook.f. & Thomson;Cananga;Cananga odorata;PH;PH Makiling Gdn., Philippines.;;;Dr. Guzman;s.n.;4;5;1977;nan;nan;DAV;Herbarium;nan;0;0;0;0;0;0;0;0;0;0;0;0;;;;nan;;;
Uvaria purpurea Blume;Uvaria;Uvaria grandiflora;PH;District of Lanao. Mindanao.;;;J. Agama;Forestry Bureau 28317;;;;nan;nan;US;US;nan;0;0;0;0;0;0;0;0;0;0;0;0;;;US;nan;;US;
Goniothalamus philippinensis Merr.;Goniothalamus;Goniothalamus philippinensis;PH;Bukidnon Subprovince. Mindanao.;;;L. Escritor;Bureau of Science 21458;;;;nan;nan;US;US;nan;0;0;0;0;0;0;0;0;0;0;0;0;;;US;nan;;US;
Goniothalamus elmeri Merr.;Goniothalamus;Goniothalamus elmeri;PH;Irosin (Mt. Bulusan), Province of Sorsogon. Island of Luzon.;;;A. D. E. Elmer;14932;;;;nan;nan;US;US;nan;0;0;0;0;0;0;0;0;0;0;0;0;;;US;nan;;US;
Pseuduvaria unguiculata (Elmer) Y.C.F.Su & R.M.K.Saunders;Pseuduvaria;Pseuduvaria unguiculata;PH;Samar.;;;M. Ramos;1661;;;;nan;nan;US;US;nan;0;0;0;0;0;0;0;0;0;0;0;0;;;US;nan;;US;
Unona latifolia Dunal;Fissistigma;Fissistigma latifolium;PH;Philippine Islands;;;nan;nan;;;;nan;nan;K;Economic Botany Collection;410;0;0;0;0;0;0;0;0;0;0;0;0;410;410;;;;;
Mitrephora weberi Merr.;Mitrephora;Mitrephora weberi;PH;Island Busuanga;;;Weber, C.M.;1550;;;;nan;nan;MIN;Plants;224512;0;0;0;0;0;0;0;0;0;0;0;0;224512;224512;;;;;
Goniothalamus gitingensis Elmer;Goniothalamus;Goniothalamus amuyon;PH;Philippine Islands;;;Adolph D.E. Elmer;12507;;4;1910;nan;nan;MICH;Angiosperms;1115399;0;0;0;0;0;0;0;0;0;0;0;0;1115399;1115399;;;;;
Annonaceae;nan;;PH;Contact UM Herbarium;;;Harley H. Bartlett;14457;11;8;1935;nan;nan;MICH;Angiosperms;1206122;0;0;0;0;0;0;0;0;0;0;0;0;1206122;1206122;;;;;
Polyalthia pinnatinervia Elmer;Enicosanthum;Enicosanthum grandifolium;PH;Cabadbaran, Mt. Urdaneta;;;Adolph D.E. Elmer;13611;;7;1912;nan;nan;MICH;Angiosperms;1115444;0;0;0;0;0;0;0;0;0;0;0;0;1115444;1115444;;;;;
Mitrephora aversa Elmer;Orophea;Orophea cumingiana;PH;Mindanao Island, Cabadbaran (Mt. Urdaneta);;;Adolph D.E. Elmer;13985;;7;1912;nan;nan;MICH;Angiosperms;1115436;0;0;0;0;0;0;0;0;0;0;0;0;1115436;1115436;;;;;
Annonaceae;nan;;PH;Contact UM Herbarium;;;Harley H. Bartlett;14446;11;8;1935;nan;nan;MICH;Angiosperms;1206123;0;0;0;0;0;0;0;0;0;0;0;0;1206123;1206123;;;;;
Orophea palawanensis Elmer;Orophea;Orophea creaghii;PH;Pueto Princesa, Mt. Pulgar;;;Adolph D.E. Elmer;12858;;3;1911;nan;nan;MICH;Angiosperms;1115437;0;0;0;0;0;0;0;0;0;0;0;0;1115437;1115437;;;;;
Polyalthia urdanetensis Elmer;Haplostichanthus;Haplostichanthus lanceolata;PH;Cabadbaran, Mt. Urdaneta;9.12361;125.53444;Adolph D.E. Elmer;13931;;7;1912;nan;nan;MICH;Angiosperms;1115446;0;0;0;0;0;0;0;0;0;0;0;0;1115446;1115446;;;;;
Annonaceae;nan;;PH;Contact UM Herbarium;;;Harley H. Bartlett;14318;30;6;1935;nan;nan;MICH;Angiosperms;1206118;0;0;0;0;0;0;0;0;0;0;0;0;1206118;1206118;;;;;
Meiogyne lucida Elmer;Meiogyne;Meiogyne virgata;PH;Mindanao Island, Cabadbaran (Mt. Urdaneta);;;Adolph D.E. Elmer;13984;;7;1912;nan;nan;MICH;Angiosperms;1115435;0;0;0;0;0;0;0;0;0;0;0;0;1115435;1115435;;;;;
Drepananthus apoensis Elmer;Drepananthus;Drepananthus apoensis;PH;Todaya (Mt. Apo);;;Adolph D.E. Elmer;10843;;6;1909;nan;nan;MICH;Angiosperms;1115390;0;0;0;0;0;0;0;0;0;0;0;0;1115390;1115390;;;;;
Annonaceae;nan;;PH;Contact UM Herbarium;;;Harley H. Bartlett;14317;30;6;1935;nan;nan;MICH;Angiosperms;1206119;0;0;0;0;0;0;0;0;0;0;0;0;1206119;1206119;;;;;
Annonaceae;nan;;PH;Contact UM Herbarium;;;Harley H. Bartlett;15664;1;9;1935;nan;nan;MICH;Angiosperms;1206120;0;0;0;0;0;0;0;0;0;0;0;0;1206120;1206120;;;;;
Annonaceae;nan;;PH;Contact UM Herbarium;;;José Vera Santos;776;19;10;1937;nan;nan;MICH;Angiosperms;1206124;0;0;0;0;0;0;0;0;0;0;0;0;1206124;1206124;;;;;
Annonaceae;nan;;PH;Contact UM Herbarium;;;Eusebio Maliwanag;158;5;2;1941;nan;nan;MICH;Angiosperms;1206115;0;0;0;0;0;0;0;0;0;0;0;0;1206115;1206115;;;;;
Polyalthia pulgarense Elmer;Polyalthia;Polyalthia obliqua;PH;Puerto Princesa, Mt. Pulgar;;;Adolph D.E. Elmer;13100;;3;1911;nan;nan;MICH;Angiosperms;1115445;0;0;0;0;0;0;0;0;0;0;0;0;1115445;1115445;;;;;
Annonaceae;nan;;PH;Contact UM Herbarium;;;Eusebio Maliwanag;305;5;2;1941;nan;nan;MICH;Angiosperms;1206116;0;0;0;0;0;0;0;0;0;0;0;0;1206116;1206116;;;;;
Polyalthia minutiflora Elmer;Polyalthia;Polyalthia obliqua;PH;Puerto Princesa, Mt. Pulgar;;;Adolph D.E. Elmer;13055;;3;1911;nan;nan;MICH;Angiosperms;1115443;0;0;0;0;0;0;0;0;0;0;0;0;1115443;1115443;;;;;
Friesodielsia paucinervia (Merr.) Steenis;Meiogyne;Meiogyne virgata;PH;Mindanao Island, Cabadbaran (Mt. Urdaneta);;;Adolph D.E. Elmer;13946;;7;1912;nan;1968-01-01T00:00:00;MICH;Angiosperms;1115439;0;0;0;0;0;0;0;0;0;0;0;0;1115439;1115439;;;;;
Artabotrys rolfei S.Vidal;Artabotrys;Artabotrys suaveolens;PH;Sine loco.;;;Cuming,H.;nan;;;;Vidal;nan;WU;Herbarium WU;0040404;0;0;0;0;0;0;0;0;0;0;0;0;0040404;0040404;;;;;
Annonaceae;nan;;PH;Luzon Island. Region V: Camarines Sur Province, Naga Municipality, Panicuasan Barangay, Mt. Isarog National Park, trail to summit.;13.66424;123.34888;"Fernando, Edwino; Fritsch, Peter W.; Penneys, Darin S.; Almeda, Frank";2920;29;5;2011;nan;nan;CAS;BOT-BC;252439;0;0;0;0;0;0;0;0;0;0;0;0;252439;252439;;;;;
Annonaceae;nan;;PH;Luzon Island. Region IV: Quezon Province, Lucban Municipality, Ayuti Barangay, base of Mt. Banahao de Lucban at Southern Luzon State University Camp Site. Trail head at camp site down through fields and forests;14.10289;121.53112;"Fernando, Edwino; Fritsch, Peter W.; Penneys, Darin S.";2715;18;5;2011;nan;nan;CAS;BOT-BC;252438;0;0;0;0;0;0;0;0;0;0;0;0;252438;252438;;;;;
Annonaceae;nan;;PH;Luzon Island. Region IV: Quezon Province, Lucban Municipality, Samil Barangay, trail to Mt. Banahao de Lucban.;14.09603;121.5206;"Fernando, Edwino; Fritsch, Peter W.; Penneys, Darin S.";2645;16;5;2011;nan;nan;CAS;BOT-BC;252437;0;0;0;0;0;0;0;0;0;0;0;0;252437;252437;;;;;
Annonaceae;nan;;PH;Luzon Island. Region IV: Quezon Province, Lucban Municipality, Samil Barangay, Mt. Banahao de Lucban, just below camp site.;14.10014;121.52407;"Fernando, Edwino; Fritsch, Peter W.; Penneys, Darin S.";2606;15;5;2011;nan;nan;CAS;BOT-BC;252436;0;0;0;0;0;0;0;0;0;0;0;0;252436;252436;;;;;
Papualthia Diels;Papualthia;;PH;Luzon Island. Region IV: Laguna Province, Bagong Silang Barangay, Mt. Makiling, from end of road at Agila Gate to Malaboo camp site.;14.13016;121.20984;"Fernando, Edwino; Fritsch, Peter W.; Penneys, Darin S.";2433;6;5;2011;nan;nan;CAS;BOT-BC;252440;0;0;0;0;0;0;0;0;0;0;0;0;252440;252440;;;;;
Meiogyne lucida Elmer;Meiogyne;Meiogyne virgata;PH;Cabadbaran (Mt. Urdaneta). Island of Mindanao.;;;Elmer, Adolph Daniel Edward;13984;1;7;1912;nan;nan;CAS;BOT-BC;7382;0;0;0;0;0;0;0;0;0;0;0;0;7382;7382;;;;;
Mitrephora aversa Elmer;Orophea;Orophea cumingiana;PH;*;;;Elmer, Adolph Daniel Edward;13985;1;7;1912;B. Bartholomew;1983-01-01T00:00:00;CAS;BOT-BC;7368;0;0;0;0;0;0;0;0;0;0;0;0;7368;7368;;;;;
Mitrephora viridifolia Elmer;Neo-Uvaria;Neo-Uvaria acuminatissima;PH;unspecified;;;Elmer, Adolph Daniel Edward;14184;1;7;1912;B. Bartholomew;nan;CAS;BOT-BC;7370;0;0;0;0;0;0;0;0;0;0;0;0;7370;7370;;;;;
Polyalthia urdanetensis Elmer;Haplostichanthus;Haplostichanthus lanceolata;PH;Cabadbaran (Mt. Urdaneta). Island of Mindanao;;;Elmer, Adolph Daniel Edward;13931;1;7;1912;nan;nan;CAS;BOT-BC;6414;0;0;0;0;0;0;0;0;0;0;0;0;6414;6414;;;;;
Mitrephora ellipanthoides Elmer;Pseuduvaria;Pseuduvaria unguiculata;PH;Cabadbaran (Mt. Urdaneta). Island of Mindanao.;;;Elmer, Adolph Daniel Edward;13987;1;7;1912;B. Bartholomew;1983-01-01T00:00:00;CAS;BOT-BC;7369;0;0;0;0;0;0;0;0;0;0;0;0;7369;7369;;;;;
Orophea submaculata Elmer;Orophea;Orophea cumingiana;PH;*;;;Elmer, Adolph Daniel Edward;13099;1;3;1911;nan;nan;CAS;BOT-BC;7017;0;0;0;0;0;0;0;0;0;0;0;0;7017;7017;;;;;
Polyalthia pulgarense Elmer;Polyalthia;Polyalthia obliqua;PH;Puerto Princesa (Mt. Pulgar). Island of Palawan.;;;Elmer, Adolph Daniel Edward;13100;1;3;1911;nan;nan;CAS;BOT-BC;6413;0;0;0;0;0;0;0;0;0;0;0;0;6413;6413;;;;;
Xylopia densifolia Elmer;Xylopia;Xylopia densifolia;PH;Magallanes (Mt. Giting-Giting), Province of Capiz. Island of Sibuyan.;;;Elmer, Adolph Daniel Edward;12471;1;5;1910;nan;nan;CAS;BOT-BC;5212;0;0;0;0;0;0;0;0;0;0;0;0;5212;5212;;;;;
Phaeanthus nigrescens Elmer;Phaeanthus;Phaeanthus ophthalmicus;PH;Cabadbaran (Mt. Urdaneta), Island of Mindanao;;;Elmer, Adolph Daniel Edward;13727;1;9;1912;nan;nan;CAS;BOT-BC;6909;0;0;0;0;0;0;0;0;0;0;0;0;6909;6909;;;;;
Orophea unguiculata Elmer;Pseuduvaria;Pseuduvaria unguiculata;PH;Cabadbaran (Mt. Urdaneta), Island of Mindanao;;;Elmer, Adolph Daniel Edward;13286;1;7;1912;B. Bartholomew;1983-01-01T00:00:00;CAS;BOT-BC;7018;0;0;0;0;0;0;0;0;0;0;0;0;7018;7018;;;;;
Phaeanthus ebracteolatus (C.Presl) Merr.;Phaeanthus;Phaeanthus ophthalmicus;PH;Philippines.;;;Cuming,H.;nan;;;;J. B. Mols (L) 1999-01-07;nan;W;Herbarium W;1889-0090986;0;0;0;0;0;0;0;0;0;0;0;0;1889;1889;;-;;;
Hydnocarpus unonifolius Elmer;Pseuduvaria;Pseuduvaria pamattonis;PH;Mt. Pulgar;;;A. D. E. Elmer;12936;;;;nan;nan;F;Botany;nan;0;0;0;0;0;0;0;0;0;0;0;0;;;;nan;;;
Cyathocalyx globosus Merr.;Cyathocalyx;Cyathocalyx globosus;PH;nan;16.0;121.0;G. P. Ahern;1878;;;;nan;nan;F;Botany;nan;0;0;0;0;0;0;0;0;0;0;0;0;;;;nan;;;
Polyalthia Blume;Polyalthia;;PH;nan;10.8333;124.8333;C. A. Wenzel;364;;;;nan;nan;F;Botany;nan;0;0;0;0;0;0;0;0;0;0;0;0;;;;nan;;;
Drepananthus philippinensis Merr.;Drepananthus;Drepananthus acuminatus;PH;nan;6.5;125.0;M. S. Clemens;1016;;;;nan;nan;F;Botany;nan;0;0;0;0;0;0;0;0;0;0;0;0;;;;nan;;;
Meiogyne virgata (Blume) Miq.;Meiogyne;Meiogyne virgata;PH;nan;10.8333;124.8333;C. A. Wenzel;645;20;3;1992;E. C. H. van Heusden;1992-01-01T00:00:00;F;Botany;nan;0;0;0;0;0;0;0;0;0;0;0;0;;;;nan;;;
Orophea palawanensis Elmer;Orophea;Orophea creaghii;PH;Mt. Pulgar;;;A. D. E. Elmer;12858;;;;nan;nan;F;Botany;nan;0;0;0;0;0;0;0;0;0;0;0;0;;;;nan;;;
Unona palawanensis Elmer;Meiogyne;Meiogyne mindorensis;PH;nan;10.0;118.8333;A. D. E. Elmer;13125;;;;nan;nan;F;Botany;nan;0;0;0;0;0;0;0;0;0;0;0;0;;;;nan;;;
Mitrephora ferruginea Merr.;Neo-Uvaria;Neo-Uvaria acuminatissima;PH;nan;16.0;121.0;P. T. Burnes;367;;;;nan;nan;F;Botany;nan;0;0;0;0;0;0;0;0;0;0;0;0;;;;nan;;;
Orophea palawanensis Elmer;Orophea;Orophea creaghii;PH;nan;10.0;118.8333;A. D. E. Elmer;12645;;;;nan;nan;F;Botany;nan;0;0;0;0;0;0;0;0;0;0;0;0;;;;nan;;;
Drepananthus philippinensis Merr.;Drepananthus;Drepananthus acuminatus;PH;nan;6.5;125.0;M. S. Clemens;1016;;;;nan;nan;F;Botany;nan;0;0;0;0;0;0;0;0;0;0;0;0;;;;nan;;;
Goniothalamus philippinensis Merr.;Goniothalamus;Goniothalamus philippinensis;PH;Philippines;13.0;122.0;M. S. Clemens;1049;;;;nan;nan;F;Botany;nan;0;0;0;0;0;0;0;0;0;0;0;0;;;;nan;;;
Drepananthus philippinensis Merr.;Drepananthus;Drepananthus acuminatus;PH;nan;6.5;125.0;M. S. Clemens;1016;;;;nan;nan;F;Botany;nan;0;0;0;0;0;0;0;0;0;0;0;0;;;;nan;;;
Anaxagorea zeylanica Hook.f. & Thomson;Anaxagorea;Anaxagorea luzonensis;PH;Sine loco.;;;Cuming,H.;nan;;;;P. Maas (U) 1992;nan;WU;Herbarium WU;0025752;0;0;0;0;0;0;0;0;0;0;0;0;0025752;0025752;;;;;
Polyalthia cumingiana Merr.;Hubera;Hubera jenkinsii;PH;Philippinen.;;;Cuming,H.;nan;;;;K. Bardy (WU) 2011-03;nan;WU;Herbarium WU;0059360;0;0;0;0;0;0;0;0;0;0;0;0;0059360;0059360;;;;;
Phaeanthus cumingii Miq.;Phaeanthus;Phaeanthus ophthalmicus;PH;Sine loco.;;;Cuming,H.;nan;;;;H. Rainer (WU) 2006-08-07;nan;WU;Herbarium WU;0038022;0;0;0;0;0;0;0;0;0;0;0;0;0038022;0038022;;;;;
Orophea cumingiana S.Vidal;Orophea;Orophea cumingiana;PH;Sine loco.;;;Cuming,H.;nan;;;;P. Keßler (L) 1984-09-28;nan;WU;Herbarium WU;0025771;0;0;0;0;0;0;0;0;0;0;0;0;0025771;0025771;;;;;
Orophea cumingiana S.Vidal;Orophea;Orophea cumingiana;PH;Sine loco.;;;Cuming,H.;nan;;;;P. Keßler (L) 1984-09-28;nan;WU;Herbarium WU;0025772;0;0;0;0;0;0;0;0;0;0;0;0;0025772;0025772;;;;;
Miliusa vidalii J.Sinclair;Miliusa;Miliusa vidalii;PH;Philippinen.;;;Cuming,H.;nan;;;;J. B. Mols (L) 2004;nan;WU;Herbarium WU;0079361;0;0;0;0;0;0;0;0;0;0;0;0;0079361;0079361;;;;;
Annona squamosa L.;Annona;Annona squamosa;PH;Manila.;;;Steiner,M.L.;nan;;;;nan;nan;WU;Herbarium WU;0020334;0;0;0;0;0;0;0;0;0;0;0;0;0020334;0020334;;;;;
Goniothalamus elmeri Merr.;Goniothalamus;Goniothalamus elmeri;PH;Mt Kanumay;14.644722;121.315833;M. Ramos;nan;;10;1911;nan;nan;LD;General;1642817;0;0;0;0;0;0;0;0;0;0;0;0;1642817;1642817;;;;;
Goniothalamus elmeri Merr.;Goniothalamus;Goniothalamus elmeri;PH;Mt Makiling;14.13;121.2;M. Ramos;nan;;9;1911;nan;nan;LD;General;1613701;0;0;0;0;0;0;0;0;0;0;0;0;1613701;1613701;;;;;
Annonaceae;nan;;PH;nan;;;Coode, M.J.E.;5352;;;;nan;nan;K;Spirit Collection;51110.000;0;0;0;0;0;0;0;0;0;0;0;0;51110;51110;;.;51110.0;;
